Datetime,Flow_V,T_p1,T_p2,T_vair,T_h2,T_h1,Level_m,Amb_Temp_C,Sol_Wm2
5/21/2019 12:55,0.8889,17.08222222,15.676,14.122,16.939,13.834,0.5843,,
5/21/2019 13:00,0.8952,17.13,15.748,14.218,17.296,13.954,0.5837,,
5/21/2019 13:05,0.8952,17.15277778,15.819,14.194,17.439,13.858,0.5833,,
5/21/2019 13:10,0.8851,17.225,15.867,14.409,17.605,13.858,0.5838,,
5/21/2019 13:15,0.8952,17.27222222,15.891,14.505,17.272,13.954,0.5837,,
5/21/2019 13:20,0.8851,17.36777778,15.915,14.529,17.463,14.026,0.5835,,
5/21/2019 13:25,0.8939,17.415,15.963,14.409,17.534,14.026,0.5835,,
5/21/2019 13:30,0.8939,17.48611111,16.034,14.577,17.582,14.098,0.584,,
5/21/2019 13:35,0.8939,17.55777778,16.106,14.649,17.534,14.074,0.5832,,
5/21/2019 13:40,0.8851,17.605,16.153,14.553,17.605,14.122,0.5842,,
5/21/2019 13:45,0.8939,17.67722222,16.201,14.481,17.653,14.146,0.5838,,
5/21/2019 13:50,0.8851,17.72388889,16.272,14.768,17.772,14.17,0.5839,,
5/21/2019 13:55,0.8851,17.79611111,16.296,14.792,17.13,13.714,0.5836,,
5/21/2019 14:00,0.875,17.84277778,16.344,14.649,16.701,13.762,0.5843,,
5/21/2019 14:05,0.8851,17.915,16.439,14.601,16.606,13.81,0.584,,
5/21/2019 14:10,0.8851,17.98611111,16.463,14.792,16.582,13.858,0.5844,,
5/21/2019 14:15,0.8851,18.03277778,16.511,14.96,16.511,13.834,0.5846,,
5/21/2019 14:20,0.875,18.105,16.558,14.96,16.534,13.858,0.5832,,
5/21/2019 14:25,0.8952,18.12888889,16.654,15.127,16.534,13.858,0.5846,,
5/21/2019 14:30,0.8952,18.17611111,16.63,15.055,16.511,13.858,0.5839,,
5/21/2019 14:35,0.8876,18.22388889,16.701,15.031,16.606,13.93,0.5836,,
5/21/2019 14:40,0.875,18.22388889,16.773,14.912,16.63,13.93,0.5831,,
5/21/2019 14:45,0.8851,18.24722222,16.82,15.055,16.63,13.93,0.5829,,
5/21/2019 14:50,0.8662,18.295,16.868,15.199,16.749,14.002,0.5833,,
5/21/2019 14:55,0.875,18.31888889,16.892,15.151,16.749,14.002,0.5836,,
5/21/2019 15:00,0.8763,18.39,16.963,15.175,16.844,14.074,0.5838,,
5/21/2019 15:05,0.8851,18.41388889,16.987,15.247,16.963,14.146,0.5834,,
5/21/2019 15:10,0.8864,18.46111111,17.011,15.342,16.963,14.122,0.5828,,
5/21/2019 15:15,0.8763,18.485,17.058,15.127,16.915,14.098,0.5831,,
5/21/2019 15:20,0.8864,18.53277778,17.058,15.342,16.892,14.098,0.5835,,
5/21/2019 15:25,0.8864,18.58,17.082,15.533,16.963,14.122,0.5839,,
5/21/2019 15:30,0.8864,18.62777778,17.13,15.247,16.892,14.098,0.5824,,
5/21/2019 15:35,0.8864,18.675,17.153,15.342,16.939,14.146,0.5832,,
5/21/2019 15:40,0.8864,18.675,17.201,15.461,16.963,14.17,0.5839,,
5/21/2019 15:45,0.8864,18.74722222,17.249,15.485,17.034,14.194,0.5832,,
5/21/2019 15:50,0.8763,18.77111111,17.272,15.247,17.058,14.194,0.5835,,
5/21/2019 15:55,0.8763,18.81777778,17.32,15.342,17.106,14.218,0.5837,,
5/21/2019 16:00,0.8864,18.84222222,17.344,15.39,17.106,14.218,0.5826,,
5/21/2019 16:05,0.8864,18.86611111,17.368,15.318,17.13,14.242,0.585,,
5/21/2019 16:10,0.8864,18.86611111,17.415,15.533,17.082,14.218,0.5836,,
5/21/2019 16:15,0.8763,18.91277778,17.486,15.223,17.106,14.242,0.5832,,
5/21/2019 16:20,0.8864,18.985,17.51,15.438,17.201,14.29,0.5826,,
